UniqueCount	AmbigCount
0	0
0	0
1	0
0	0
1	0
1	0
0	0
0	0
1	0
0	0
0	0
2	0
1	0
0	0
1	0
0	0
0	0
0	0
0	0
1	0
1	0
1	0
2	0
0	0
3	0
0	0
0	0
0	0
0	0
0	0
1	0
2	0
1	0
0	1
1	0
0	0
0	0
3	0
1	0
0	1
0	0
0	0
7	0
4	0
0	0
2	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
2	0
0	0
0	0
5	0
1	0
0	0
2	0
1	0
2	0
0	0
2	0
0	0
1	0
0	0
3	0
0	0
0	0
73	43
0	42
0	37
0	5
0	1
20	31
238	0
88	0
31	112
0	0
1	0
0	1
5	0
139	1
0	0
0	0
0	53
1	66
7	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	134
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	0
0	0
0	0
0	0
0	0
0	0
1	39
0	0
0	0
0	0
0	0
0	0
0	0
0	0
3	131
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
0	0
1	130
0	0
0	0
0	0
0	118
0	0
0	0
0	0
0	0
0	0
1	39
4	39
1	0
945	1
0	0
42	164
0	164
11	1
164	14
0	39
8	108
60	28
1	25
3	146
1	280
23	280
0	0
0	0
0	10
6	15
1	303
10	34
2	300
0	121
0	5
0	121
110015	19064
0	4
0	2
0	5
1	5
2	699
37	2306
7	922
5	1343
7	1966
1420	0
0	0
0	2
198	0
2	218
72	218
94	0
1	0
3	0
1	0
0	0
216	42
11	0
0	4
50	21
0	17
3	10
1	4
12	29
9	0
62	17
0	17
0	1
0	1
1	8
7	8
556	364
0	213
4	250
0	21
23	236
2	217
0	110
0	44
4	116
0	342
0	346
11	331
0	347
14	3
157	135
155	0
48	16611
2251	17487
1536	10601
896	17306
4	0
0	0
692	138
0	442
0	150
0	282
39	816
38	841
18	189
70	189
19	2
50	2
884	0
0	0
0	0
510	100
1	100
42	254
0	13
0	245
0	242
0	249
0	240
10	258
3	258
2	239
5	34
0	1
0	8
0	8
0	8
0	1934
2	947
90	1998
1	7
0	6
0	0
0	0
0	0
0	0
54	0
0	29
0	35
0	23
9	166
0	148
3	3
0	166
0	0
0	0
0	280
9	383
0	280
0	0
186	18
0	38
3	88
128	0
2	0
0	0
0	0
0	0
0	2
0	2
0	0
0	0
20	23
136	23
87	86
0	27
0	0
6	189
1	11
1	193
0	192
0	0
289	196
