"comparison","gene_id"
"1dpa_vs_0dpa","ENSDARG00000000002"
"1dpa_vs_0dpa","ENSDARG00000000370"
"1dpa_vs_0dpa","ENSDARG00000000460"
"1dpa_vs_0dpa","ENSDARG00000000551"
"1dpa_vs_0dpa","ENSDARG00000000606"
"1dpa_vs_0dpa","ENSDARG00000000656"
"1dpa_vs_0dpa","ENSDARG00000000767"
"1dpa_vs_0dpa","ENSDARG00000000796"
"1dpa_vs_0dpa","ENSDARG00000000804"
"1dpa_vs_0dpa","ENSDARG00000001014"
"1dpa_vs_0dpa","ENSDARG00000001241"
"1dpa_vs_0dpa","ENSDARG00000001303"
"1dpa_vs_0dpa","ENSDARG00000001313"
"1dpa_vs_0dpa","ENSDARG00000001452"
"1dpa_vs_0dpa","ENSDARG00000001470"
"1dpa_vs_0dpa","ENSDARG00000001558"
"1dpa_vs_0dpa","ENSDARG00000001559"
"1dpa_vs_0dpa","ENSDARG00000001578"
"1dpa_vs_0dpa","ENSDARG00000001656"
"1dpa_vs_0dpa","ENSDARG00000001777"
"1dpa_vs_0dpa","ENSDARG00000001788"
"1dpa_vs_0dpa","ENSDARG00000001939"
"1dpa_vs_0dpa","ENSDARG00000001950"
"1dpa_vs_0dpa","ENSDARG00000001968"
"1dpa_vs_0dpa","ENSDARG00000002002"
"1dpa_vs_0dpa","ENSDARG00000002037"
"1dpa_vs_0dpa","ENSDARG00000002127"
"1dpa_vs_0dpa","ENSDARG00000002172"
"1dpa_vs_0dpa","ENSDARG00000002249"
"1dpa_vs_0dpa","ENSDARG00000002293"
"1dpa_vs_0dpa","ENSDARG00000002298"
"1dpa_vs_0dpa","ENSDARG00000002336"
"1dpa_vs_0dpa","ENSDARG00000002353"
"1dpa_vs_0dpa","ENSDARG00000002391"
"1dpa_vs_0dpa","ENSDARG00000002403"
"1dpa_vs_0dpa","ENSDARG00000002411"
"1dpa_vs_0dpa","ENSDARG00000002445"
"1dpa_vs_0dpa","ENSDARG00000002507"
