"comparison","ensembl_id","gene_symbol"
"1dpa_vs_0dpa","ENSDARG00000000002","ccdc80"
"1dpa_vs_0dpa","ENSDARG00000000370","triob"
"1dpa_vs_0dpa","ENSDARG00000000460","nitr2b"
"1dpa_vs_0dpa","ENSDARG00000000551","slc1a4"
"1dpa_vs_0dpa","ENSDARG00000000606","dnah6"
"1dpa_vs_0dpa","ENSDARG00000000656","psmb9a"
"1dpa_vs_0dpa","ENSDARG00000000767","spi1b"
"1dpa_vs_0dpa","ENSDARG00000000796","nr4a1"
"1dpa_vs_0dpa","ENSDARG00000000804","rassf6"
"1dpa_vs_0dpa","ENSDARG00000001014","myh9b"
"1dpa_vs_0dpa","ENSDARG00000001241","puf60b"
"1dpa_vs_0dpa","ENSDARG00000001303","psmb8a"
"1dpa_vs_0dpa","ENSDARG00000001313","g2e3"
"1dpa_vs_0dpa","ENSDARG00000001452","adam8a"
"1dpa_vs_0dpa","ENSDARG00000001470","mhc1zea"
"1dpa_vs_0dpa","ENSDARG00000001558","kifc1"
"1dpa_vs_0dpa","ENSDARG00000001559","csmd2"
"1dpa_vs_0dpa","ENSDARG00000001578","echs1"
"1dpa_vs_0dpa","ENSDARG00000001656","psmb13a"
"1dpa_vs_0dpa","ENSDARG00000001777","nup155"
"1dpa_vs_0dpa","ENSDARG00000001788","atp5po"
"1dpa_vs_0dpa","ENSDARG00000001939","b3gat3"
"1dpa_vs_0dpa","ENSDARG00000001950","ak1"
"1dpa_vs_0dpa","ENSDARG00000001968","dock5"
"1dpa_vs_0dpa","ENSDARG00000002002","lmcd1"
"1dpa_vs_0dpa","ENSDARG00000002037","pfkfb2b"
"1dpa_vs_0dpa","ENSDARG00000002127","stam"
"1dpa_vs_0dpa","ENSDARG00000002172","aplnra"
"1dpa_vs_0dpa","ENSDARG00000002249","tbxas1"
"1dpa_vs_0dpa","ENSDARG00000002293","si:ch211-197g15.9"
"1dpa_vs_0dpa","ENSDARG00000002298","ankrd22"
