"","ID","Description","GeneRatio","BgRatio","RichFactor","FoldEnrichment","zScore","pvalue","p.adjust","qvalue","geneID","Count"
"GO:0030198","GO:0030198","extracellular matrix organization","48/800","162/17744",0.296296296296296,6.57185185185185,15.4800898960578,1.89487333190303e-26,1.84864714985624e-23,1.68136817341913e-23,"adamts18/mmp14a/loxa/col14a1a/mmp14b/col11a1b/col2a1b/col1a1a/hmcn1/mmp2/kank2/serpinh1b/col1a2/col5a2b/loxl4/mmp11a/adamts15a/col1a1b/lamb4/fbln5/adamts6/mmp9/loxl2b/sec24d/mmp15a/col4a6/col4a5/fras1/col10a1a/ap1s1/lama5/plod1a/adamts3/si:dkey-202e22.2/p4ha1b/ecm2/tgfbi/adamts10/adamts17/hmcn2/reck/mfap4.1/mfap4.7/mfap4.6/lamb1a/col10a1b/col22a1/postnb",48
"GO:0043062","GO:0043062","extracellular structure organization","48/800","162/17744",0.296296296296296,6.57185185185185,15.4800898960578,1.89487333190303e-26,1.84864714985624e-23,1.68136817341913e-23,"adamts18/mmp14a/loxa/col14a1a/mmp14b/col11a1b/col2a1b/col1a1a/hmcn1/mmp2/kank2/serpinh1b/col1a2/col5a2b/loxl4/mmp11a/adamts15a/col1a1b/lamb4/fbln5/adamts6/mmp9/loxl2b/sec24d/mmp15a/col4a6/col4a5/fras1/col10a1a/ap1s1/lama5/plod1a/adamts3/si:dkey-202e22.2/p4ha1b/ecm2/tgfbi/adamts10/adamts17/hmcn2/reck/mfap4.1/mfap4.7/mfap4.6/lamb1a/col10a1b/col22a1/postnb",48
"GO:0045229","GO:0045229","external encapsulating structure organization","48/800","163/17744",0.294478527607362,6.53153374233129,15.4158732031827,2.57352271441704e-26,1.84864714985624e-23,1.68136817341913e-23,"adamts18/mmp14a/loxa/col14a1a/mmp14b/col11a1b/col2a1b/col1a1a/hmcn1/mmp2/kank2/serpinh1b/col1a2/col5a2b/loxl4/mmp11a/adamts15a/col1a1b/lamb4/fbln5/adamts6/mmp9/loxl2b/sec24d/mmp15a/col4a6/col4a5/fras1/col10a1a/ap1s1/lama5/plod1a/adamts3/si:dkey-202e22.2/p4ha1b/ecm2/tgfbi/adamts10/adamts17/hmcn2/reck/mfap4.1/mfap4.7/mfap4.6/lamb1a/col10a1b/col22a1/postnb",48
"GO:0022613","GO:0022613","ribonucleoprotein complex biogenesis","55/800","313/17744",0.175718849840256,3.89744408945687,11.237679196328,2.42559634648064e-18,1.30679003166645e-15,1.18854220977551e-15,"utp15/wdr12/rrs1/tsr2/gnl3/rpl38/mrto4/krr1/rps9/snrpd1/airim/nop56/npm1a/dkc1/rpl35/rpl5a/eif6/snu13b/lsm4/snrpe/zgc:86811/lsm6/polr1d/polr1c/c1qbp/utp11/eif4h/rps7/rpl7l1/nop2/abt1/rpf2/pak1ip1/eri1/ngdn/prmt7/eif2s2/fbl/imp4/ebna1bp2/naf1/nip7/exosc8/nhp2/kri1/snrpd3l/dlx2a/ptges3b/ddx27/mphosph6/snrpg/mrps7/rpl14/sdad1/imp3",55
"GO:0042254","GO:0042254","ribosome biogenesis","45/800","222/17744",0.202702702702703,4.49594594594595,11.3893753693321,1.12026312581363e-17,4.82833407225672e-15,4.39143145318941e-15,"utp15/wdr12/rrs1/tsr2/gnl3/mrto4/krr1/rps9/airim/nop56/npm1a/dkc1/rpl35/rpl5a/eif6/snu13b/zgc:86811/lsm6/polr1d/polr1c/c1qbp/utp11/rps7/rpl7l1/nop2/abt1/rpf2/pak1ip1/eri1/ngdn/fbl/imp4/ebna1bp2/naf1/nip7/exosc8/nhp2/kri1/dlx2a/ddx27/mphosph6/mrps7/rpl14/sdad1/imp3",45
"GO:0016072","GO:0016072","rRNA metabolic process","36/800","174/17744",0.206896551724138,4.58896551724138,10.3373346867077,1.08994041295563e-14,3.91470264986565e-12,3.56047201565507e-12,"utp15/wdr12/rrs1/tsr2/gnl3/mrto4/krr1/nop56/dkc1/rpl35/eif6/snu13b/polr1f/polr2eb/zgc:86811/lsm6/polr1d/utp11/rps7/rpl7l1/nop2/abt1/rpf2/pak1ip1/eri1/ngdn/fbl/imp4/ebna1bp2/pelo/exosc8/nhp2/kri1/ddx27/mphosph6/imp3",36
"GO:0006364","GO:0006364","rRNA processing","32/800","157/17744",0.203821656050955,4.52076433121019,9.62811898208881,5.12263681314987e-13,1.57704033319114e-10,1.43433830768196e-10,"utp15/wdr12/rrs1/tsr2/gnl3/mrto4/krr1/nop56/dkc1/rpl35/eif6/snu13b/zgc:86811/lsm6/utp11/rps7/rpl7l1/nop2/abt1/rpf2/pak1ip1/eri1/ngdn/fbl/imp4/ebna1bp2/exosc8/nhp2/kri1/ddx27/mphosph6/imp3",32
"GO:0006412","GO:0006412","translation","55/800","452/17744",0.121681415929204,2.69889380530973,7.94993147316789,1.92472215112736e-11,5.1002579892449e-09,4.63874972571694e-09,"rpl38/mrps18b/paip2b/rplp2l/rps9/eif4e1c/mrpl11/tars1/rpl8/eif4e2rs1/rwdd1/rbm8a/eif5b/eif5a/rpl35/rpl5a/eif6/rps23/rnf25/eif1axa/eef1db/mrps23/yars1/rpl39/mrps35/magoh/mrpl12/mrps6/rps29/eif4h/rps7/srp9/ngdn/eif2s2/mrps17/pelo/cpeb4a/ftsj1/eif1axb/rpl6/mrpl18/mrpl37/mrpl14/mrps21/mrpl17/eif4ea/rpl29/eif2b1/ago1/mrps24/mrpl15/mrps7/rpl14/mettl17/mrpl33",55
"GO:0001501","GO:0001501","skeletal system development","53/800","427/17744",0.124121779859485,2.75302107728337,7.96737567308022,2.13003813935982e-11,5.1002579892449e-09,4.63874972571694e-09,"mmp14a/loxa/lrp5/plxna3/mmp14b/fgfr1a/col2a1b/ednraa/dcn/col1a1a/col11a2/zic2a/sema3d/cdh2/tgfb3/sp7/fn1a/col1a2/col11a1a/bmp1a/pthlha/fat3a/col1a1b/bcl9/polr1d/marcksl1a/polr1c/gja1b/mmp9/loxl2b/ogna/disp1/nansa/sec24d/pbx4/fras1/msmo1/mecom/ednrab/furina/vgll4l/hapln1b/megf6b/prdm16/itga8/megf6a/and2/dlx2a/and1/rflnb/bcan/tln1/grem2b",53
"GO:0042273","GO:0042273","ribosomal large subunit biogenesis","16/800","49/17744",0.326530612244898,7.24244897959184,9.50776209958252,2.08228135416594e-10,4.4873163182276e-08,4.08127145416524e-08,"wdr12/rrs1/mrto4/airim/npm1a/rpl35/rpl5a/eif6/rpl7l1/nop2/rpf2/pak1ip1/ebna1bp2/nip7/rpl14/sdad1",16
