"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","GeneSymbol"
"ENSDARG00000000002",186.891212279981,0.00337019919519116,0.432415207277704,0.00779389609447007,0.993781433595397,0.997655740575605,"ccdc80"
"ENSDARG00000000018",107.342064376715,-0.189509832070548,0.476477050318233,-0.39773129040313,0.69082826977836,0.868888198757502,"nrf1"
"ENSDARG00000000019",105.690124882261,0.454474700241648,0.505902494707099,0.898344453716866,0.369001939875485,0.645673122121916,"ube2h"
"ENSDARG00000000068",39.9766046475874,0.0801693548899235,0.618768242156822,0.129562814359185,0.896912325040595,0.965102624844562,"nherf1a"
"ENSDARG00000000069",140.97853854226,-0.622869223110775,0.472540330743361,-1.31812923170162,0.187460390507508,0.454060898705685,"dap"
"ENSDARG00000000086",197.841369599497,1.06153976518111,0.559330952321176,1.89787416694143,0.0577126601216473,0.233940344971707,"itsn1"
"ENSDARG00000000103",227.40382774314,0.668441721457515,0.430212450562616,1.55374796936572,0.120244545921043,0.34922447957186,"myh10"
"ENSDARG00000000142",36.5796725236353,-0.4323418446567,0.679520323674234,-0.636245642100865,0.524616328513195,0.7666585413078,"tmem267"
"ENSDARG00000000151",74.5761929364651,-0.943249252607381,0.575388360552321,-1.6393262660057,0.101145328605333,0.317279157243813,"thraa"
"ENSDARG00000000183",128.711664802958,-1.34639650698961,0.532681299929407,-2.52758357984039,0.011485048367927,0.0925403255409516,"ptpn4b"
"ENSDARG00000000189",334.159482190441,1.5476742321551,0.4231235459051,3.65773601382661,0.000254452920364928,0.00797465009340882,"sema6cb"
"ENSDARG00000000212",18691.1193403813,-2.40767352742967,0.41368113358535,-5.82011924634441,5.88056576850348e-09,9.12923646224302e-07,"krt97"
"ENSDARG00000000229",58.6576185588332,0.83696257070068,0.580435253207995,1.44195681787915,0.149314555914876,0.398693116877066,"usp49"
"ENSDARG00000000241",30.9114839289921,0.788954404325417,0.715962277349177,1.10194968266553,0.270483547477454,0.550742278017165,"slc40a1"
"ENSDARG00000000370",144.672197969785,-0.63349170590356,0.524373780914565,-1.20809187827561,0.227011923396691,0.504415071166543,"triob"
"ENSDARG00000000394",515.38514321707,-0.689181200676021,0.391789650568579,-1.75905922904257,0.0785674489566315,0.27757167646515,"matr3l1.2"
"ENSDARG00000000423",84.3848933992842,-0.889345640941724,0.52238571396446,-1.7024693003037,0.0886674286745354,0.297736126819346,"si:ch73-314g15.3"
"ENSDARG00000000442",88.8913125831628,0.976360477558885,0.539849149158799,1.80858019148546,0.0705162481674453,0.261523231259134,"slc39a13"
"ENSDARG00000000476",17.8318614524261,0.124535307834935,0.808863429292472,0.153963330922092,0.877638648469014,0.956909236072667,"pms1"
"ENSDARG00000000489",40.4535657911445,-0.389136308204954,0.616614671194068,-0.631085062331384,0.527984907620502,0.767987514646615,"upf3b"
"ENSDARG00000000529",20.7841264964128,0.684605917194173,0.760442799259562,0.900272733019195,0.367975128039793,0.645070568911032,"ofd1"
"ENSDARG00000000540",62.2959869576123,0.0526820497992616,0.566108949557493,0.0930599133619796,0.92585596369156,0.975927914988633,"asnsd1"
"ENSDARG00000000542",58.215306846462,0.232553640105243,0.626957558135445,0.370924055524351,0.710694097519376,0.879213945142809,"gtf2e1"
"ENSDARG00000000551",56.2815117228615,1.1650074037683,0.581921825632707,2.00199984336663,0.0452847483722781,0.204097826171277,"slc1a4"
"ENSDARG00000000567",66.1708251108276,0.355777309279073,0.615897027831663,0.577657129685506,0.5634956280596,0.789435436665944,"znf281a"
"ENSDARG00000000568",94.9885650264818,0.866507571224666,0.490221815988517,1.76758263904959,0.0771307024739008,0.274605868994413,"ell"
"ENSDARG00000000588",37.0097658847623,0.513247980014254,0.638684573437198,0.803601654651084,0.421627067210141,0.688411761565684,"tamalin"
"ENSDARG00000000631",124.652012229047,0.0407994137918928,0.488466241671546,0.0835255547082967,0.933433658665343,0.979430428862071,"ptpn4a"
"ENSDARG00000000656",586.782416486357,-0.922051621569815,0.51980650235777,-1.77383625904547,0.0760902386004019,0.272523296819323,"psmb9a"
"ENSDARG00000000666",84.6578703531623,-0.226881308196925,0.569818651182139,-0.398164061015272,0.690509255682962,0.868875035480051,"creg2"
"ENSDARG00000000690",80.8108287911355,-0.642525917266363,0.573770914368709,-1.11983005965595,0.26278618706555,0.543526553251543,"sypl2b"
"ENSDARG00000000729",62.7606159466518,-0.0550138317289118,0.58017250975022,-0.0948232306846057,0.924455234591478,0.975645185880315,"daxx"
"ENSDARG00000000747",18.9614385663555,-0.765769926136707,0.807800398233082,-0.947969235731612,0.343145116008391,0.624348151612521,"lcmt2"
"ENSDARG00000000760",40.3867470523906,0.0410631210938612,0.645613913902632,0.0636032158068608,0.949286171085627,0.984582664920051,"znf511"
"ENSDARG00000000767",118.500855140871,-1.4126566960695,0.582687771413316,-2.4243802004684,0.0153345418435996,0.109144299143637,"spi1b"
"ENSDARG00000000779",159.114889314228,-0.395851754854459,0.459760871792438,-0.860994876121536,0.389240865110498,0.663443736766279,"scfd1"
"ENSDARG00000000796",166.362800469218,-0.260762956217478,0.676159405918065,-0.385653078157545,0.699753617671235,0.873694056815548,"nr4a1"
"ENSDARG00000000804",79.89780398829,-0.637343379602399,0.65450054239518,-0.973785869252311,0.33016287073988,0.613586370719395,"rassf6"
"ENSDARG00000000830",22.2186035434646,-0.506758091415953,0.770281586648892,-0.657886804253757,0.510610870502442,0.757378705930242,"telo2"
"ENSDARG00000000853",68.5091288990846,0.212151924075945,0.527261183258587,0.402365906712116,0.687414757109198,0.86657652295796,"dstyk"
"ENSDARG00000000857",252.145397518606,-0.187969944227251,0.514895710926166,-0.365064109563355,0.715063551131774,0.880864870931935,"mapk14a"
"ENSDARG00000000861",326.600721178532,0.331180918412812,0.579061351860787,0.571927166868548,0.567371318270819,0.79218005123975,"scrib"
"ENSDARG00000000906",33.5453457455512,-1.47598709543451,0.781168322088006,-1.88946102101184,0.0588300810303656,0.236507200191632,"skap2"
"ENSDARG00000000935",51.172559244715,0.320064645597305,0.59699338140042,0.536127628159798,0.591870346875378,0.807321311926152,"unk"
"ENSDARG00000000943",29.7773515555182,0.609194805243962,0.657231391342013,0.926910694268629,0.353972904213652,0.634347952235767,"dzip1"
"ENSDARG00000000966",527.059357611496,0.254007605811218,0.396069468349626,0.641320844218661,0.52131424926101,0.764842477130082,"ncor2"
"ENSDARG00000001014",436.972171605319,1.04100370066584,0.475535571743414,2.18911846457522,0.0285882308093935,0.155597826961359,"myh9b"
"ENSDARG00000001015",225.98218580232,0.814732349961197,0.446981667224796,1.82274220555773,0.0683424447496369,0.25772284230717,"znf384a"
"ENSDARG00000001057",196.006180972024,-0.480223153895855,0.492083105634063,-0.975898478117989,0.32911477638064,0.612521020031466,"bysl"
"ENSDARG00000001129",167.425458352423,0.0163374655545679,0.50503122078465,0.0323494169908643,0.974193400746054,0.991824801501234,"dicer1"
