"","4dpa_1","4dpa_2","1dpa_1","1dpa_2","0dpa_1","0dpa_2"
"and1",5.39498488863656,5.01070568870954,-2.4622553274837,-2.58397297770152,-2.38611815046323,-2.97334412169765
"enam",4.44721514151144,4.35059655856409,-2.07546765437967,-1.92623302567073,-2.05787315660737,-2.73823786341776
"ENSDARG00000117174",3.47642086381437,3.55116852463439,-0.575759206868652,-0.788804918869083,-3.15029309196949,-2.51273217074153
"ENSDARG00000105274",4.07145224202467,3.77574136171878,-1.95464423822727,-1.58202814960582,-1.94221331057884,-2.36830790533152
"and2",5.14334841983763,4.99625072499505,-2.58212486895344,-2.75725265833197,-1.74612403020118,-3.05409758734608
"tncb",2.10408296357249,1.85009829061347,1.17052150974739,1.04199842422602,-3.11425648484621,-3.05244470331316
"ENSDARG00000114910",3.90843388881884,4.01771792888057,-1.03948106568781,-0.824153946734645,-3.79252445225938,-2.26999235301758
"lamb1a",2.70302031433021,2.55691694220205,-0.275557211115776,-0.533493661325813,-2.32039338397266,-2.130493000118
"ENSDARG00000116179",4.10518846252157,4.38183792080228,-1.24701355916569,-1.04075907096426,-4.07320939420772,-2.12604435898618
"ENSDARG00000111458",3.64645407691236,3.47348841633999,-0.403223006565703,-0.504891849289796,-4.02382627410205,-2.1880013632948
"fbn2b",2.83229096847444,2.85656874178977,0.0718801132838571,-0.0963124693963024,-3.45805661409275,-2.20637074005901
"fn1b",0.623122381169281,1.10460293555955,2.43408472004461,2.37793974094468,-3.39092045466427,-3.14882932305387
"si:ch211-113a14.22",1.87686923956223,1.24470912784769,0.886413069430937,0.933254657482307,-2.60949004304528,-2.33175605127789
"nid2a",2.14559070060729,1.52641740932196,0.203215179192568,0.284921391669744,-1.91662147716417,-2.24352320362738
"tnca",2.28367892863343,2.30906222520362,-0.534033544841415,-0.395805696039601,-1.54740190477026,-2.11550000818578
"racgap1",1.66412578709283,1.39924173892693,0.241964752378146,0.567949551293131,-1.93020394049024,-1.9430778892008
"sfrp2l",1.87787873282381,2.26140568227909,0.111135626420394,0.428993854165372,-2.21278168407702,-2.46663221161164
"cdh2",1.9060903671534,1.77593708115844,0.42409774622786,-0.167780457769121,-2.07756909825765,-1.86077563851292
"ENSDARG00000115819",2.93449688277113,2.71487114271275,-0.0323415865831329,0.0318323939601335,-3.89397515808608,-1.75488367477479
"bmp1a",2.02410757060488,2.18399617377217,-0.403964189875503,-0.665577383233901,-1.7340479350479,-1.40451423621974
"mcm7",1.66951776410216,1.58224000793124,0.276120353913078,0.22604435314632,-2.02429928661707,-1.72962319247572
"ENSDARG00000116076",3.31034793968601,3.35798026898066,-0.454584899169515,-0.626209935770408,-4.05807825307335,-1.52945512065339
"lama1",2.14275036244852,1.97492784248616,-0.154313191104903,0.30127392961898,-2.14814624708169,-2.11649269636706
"tcimb",-1.23399620687051,-1.64633487709805,-1.36141965522555,-1.50544909113747,3.54065446702776,2.20654536330382
"jdp2b",-1.63206338913494,-1.01027339687282,-2.39634914988871,-1.7227496500549,4.17008677286033,2.59134881309104
"wfikkn2b",3.48428312499852,3.0713402777568,-2.01551146874798,-1.85927653686226,-1.94778508421647,-0.733050312928606
"mmp15a",2.50834208475109,1.97621589218407,-0.821254288219429,-0.861441980020851,-1.51644887496258,-1.28541283373229
"cyp7a1",-2.20118499810611,-1.92575749794553,-0.188614913112519,-0.282970230807331,2.96004935845914,1.63847828151235
"dact2",1.76944934591066,1.62843003556369,0.331521769441273,0.0287940077748647,-1.97977385655012,-1.77842130214037
